ID Number,Site Name,Mobile Number,Address,Firm Name,Party Print Name,Sales Man Name,Item Group,Order Value,Item Name,Item Qty,Tank Type,Tank Qty,Remark
00037/26-27,Aira by Orchid Hotel,9090953113,"A/19, Cuttack Puri Road  IRA by Orchid
Cuttack Road Bhubaneswar
Odisha  751006 
Odisha - 751006 
India",Insiya Trading,ILEX DEVELOPERS & RESORTS LIMITED,ASHFAQUE INAMDAR,Boom Barrier,,Boom Barrier IZ 2001,2,,,
00004/26-27,Ashtavinayak Acres,9511678279,"Narayangaon tal junnar dist pune 
Pune, Maharashtra 
India",Insiya Trading,Ashtavinayak Acres,SAGAR PHARATE,Boom Barrier,45000,Boom Barrier IZ 2001,1,,,
00028/26-27,AVTECH SOLUTIONS,,"Survey Number 74/2, Shop No. 03 Ground Floor Kalpvruksh
Link Road Mumbai Highway Pune
Maharashtra  411041 
Maharashtra - 411041 
India",Insiya Trading,AVTECH SOLUTIONS,SAGAR PHARATE,Boom Barrier,,SMPS for Boom barrier,1,,,
00029/24-25,FEDERATION OF MANTRA MOMENTS COOPERATIVE HOUSING SOCIETY LTD,8530833321,"Gat No. 167 & 168, Borhadewadi-Moshi, Near Modern College
Dehu-Alandi Road, Tal. Haveli, Dist. Pune 410501 
Pune, Maharashtra 
India",Insiya Trading,FEDERATION OF MANTRA MOMENTS COOPERATIVE HOUSING SOCIETY LTD,SAGAR PHARATE,Boom Barrier,10000,Boom Arm,1,,,
00110/25-26,GHODAWAT ENERGY PVT.LTD.,9423003203,"GAT NO.351 TO 359,  
MAJALE MAJALE
Maharashtra  416109 
Pune City, Maharashtra - 416109 
India",Insiya Trading,GHODAWAT ENERGY PVT.LTD.,ASHFAQUE INAMDAR,Boom Barrier,48000,Boom Barrier IZ 2001,1,,,
00031/25-26,Goodwill cresent society,95950 72115‬,"Keshav nagar Pune 
Pune, Maharashtra 
India",Insiya Trading,Goodwill cresent society,Sameer Sayyed,Boom Barrier,150000,BOOM BARRIER IZ ECO,2,,,
00037/25-26,Hermes Drome, 99214 61808,"Hermes Drome
Viman Nagar Pune 
Pune, Maharashtra 
India",Insiya Trading,Hermes Drome,Sameer Sayyed,Boom Barrier,67500,Boom Barrier IZ-2002,1,,,
00035/24-25,Hyatt Place Pune Hinjewadi,,"P-12,P-13,P-13A  HYATT PLACE PUNE
RAJIV GANDHI INFOTECH, PHASE-1 HINJEWADI
Maharashtra  411057 
Maharashtra - 411057 
India",Insiya Trading,GHV HOTEL (INDIA)  PRIVATE  LIMITED.,SAGAR PHARATE,Boom Barrier,100300,Boom Barrier IZ-2003,1,,,
00072/25-26,JMJ BEACH RESORTS PRIVATE LIMITED,8326751016,"30/3  
ACSONA WADDO UTTORDA SALCETTEE,
Goa  403713 
Goa - 403713 
India",Insiya Trading,JMJ BEACH RESORTS PRIVATE LIMITED,ASHFAQUE INAMDAR,Boom Barrier,141600,Boom Barrier IZ-2002,2,,,
00024/25-26,K BUILDERS,9928855109,"SHOP NO 1  CHOUDHARY BHAWAN
BEHIND JEEVAN JYOTI HOSPITAL PURANI BASTHI SUTHLA, NANDVANDAN
Rajasthan  342008 
Rajasthan - 342008 
India",Insiya Trading,K BUILDERS,SAGAR PHARATE,Boom Barrier,179360,BOOM BARRIER IZ ECO,4,,,
00104/25-26,KUNAL ICON COOPERATIVE HOUSING SOCIETY LIMITED,77988 23022,"B8 BUILDING KUNAL ICON S. NO. 126/1A/126/1B, 126/2A/2B
NEAR SHIVAR GARDEN PIMPLE SAUDAGAR, PUNE
Maharashtra  411027 
Maharashtra - 411027 
India",Insiya Trading,KUNAL ICON COOPERATIVE HOUSING SOCIETY LIMITED,SAGAR PHARATE,Boom Barrier,309750,Boom Barrier IZ 2001,3,,,
00056/25-26,M D CONSTRUCTION,9881969632,"H.NO.34  S.NO.69
SWAMI VIVEKANAND SOCIETY NEW SANGHAVI
Maharashtra  411027 
Maharashtra - 411027 
India",Insiya Trading,M D CONSTRUCTION,SAGAR PHARATE,Boom Barrier,150000,Boom Barrier IZ-2003,2,,,
00020/26-27,Malvan Tourism Enterprises,8180884034,"1220, Vrundavan, Wayari Grade Road Makarebag,  Shindhudurg, Wayari Malvan 416606 
Shindhudurg, Maharashtra - 416606 
India",Insiya Trading,Malvan Tourism Enterprises,ASHFAQUE INAMDAR,Boom Barrier,,Boom Barrier IZ 2001,2,,,
00095/25-26,Manoj Mahajan,,"Vasundhara Apartment Dudulgaon 
Pune, Maharashtra 
India",Insiya Trading,Manoj Mahajan,SAGAR PHARATE,Boom Barrier,6500,Boom Arm,1,,,
00064/25-26,MARIGOLD PHASE II COOPERATIVE HOUSING SOCIETY LIMITED,7498530390,"GROUND FLOOR,  CYPRESS, BEHIND GOLD ADLABS,
KALYANI NAGAR, PUNE
Maharashtra  411014 
Pune City, Maharashtra - 411014 
India",Insiya Trading,MARIGOLD PHASE II COOPERATIVE HOUSING SOCIETY LIMITED,Harshal Chhajed,Boom Barrier,44840,BOOM BARRIER IZ ECO,1,,,
00041/24-25,Parkland Soc,,"Sakorenagar Vimannagar pune 411014 
Pune, Maharashtra 
India",Insiya Trading,Parkland Soc,SAGAR PHARATE,Boom Barrier,60180,Boom Barrier IZ-2002,1,,,
00002/24-25,PINNACLE PROPERTIES,,"2 1 8/23
opposite C Block Pimpri Chinchwad
Maharashtra  411017 
Maharashtra - 411017 
India",Insiya Trading,Nirman Construction,SAGAR PHARATE,Boom Barrier,55460,BOOM BARRIER IZ ECO,1,,,
00336/25-26,Planet Hollywood Beach Resort,7066031242,"30/3, Acsona Waddo, Uttorda Beach, Utorda, Goa 403713 
Pune, Maharashtra - 403713 
India",Insiya Trading,Planet Hollywood Beach Resort,,Boom Barrier,,Boom Arm,1,,,
00030/25-26,Preston Woods Co-operative Housing Society Ltd.,9422201995,"Vishal Nagar, Pimple Nilakh, Pune – 411027 
Pune, Maharashtra 
India",Insiya Trading,Preston Woods Co-operative Housing Society Ltd.,Sameer Sayyed,Boom Barrier,39000,BOOM BARRIER IZ ECO,1,,,
00072/26-27,PRIMAL PRIDE LLP,9689827878,"PUNE, KHED, GAT NO 226, PIMPRI CHINCHWAD, BARNE WASTI, Moshi, Pimpri Chinchwad, Pune, Maharashtra, 412105 
Pune, Maharashtra 
India",Insiya Trading,PRIMAL PRIDE LLP,SAGAR PHARATE,Boom Barrier,50000,Boom Barrier IZ 2001,1,,,
00119/25-26,Raj krishna Platinum square,,"Viman Nagar, Pune- 411014 
Pune, Maharashtra 
India",Insiya Trading,Raj krishna Platinum square,,Boom Barrier,,Boom Arm,1,,,
00038/25-26,Rajesh singh,8883771133,"15/6f kollai thickkanamcode post , kayna kumari dist , 
Tamil Nadu - 629804 
India",Insiya Trading,Rajesh singh,,Boom Barrier,45000,Boom Barrier IZ 2001,1,,,
00064/25-26,Raviraj Sahakari Gruharachana Sanstha,,"118/2C Tejovalay Warje 
Pune 411058 
Pune, Maharashtra 
India",Insiya Trading,Raviraj Sahakari Gruharachana Sanstha,,Boom Barrier,,Boom Arm,1,,,
00037/24-25,Rose Crystal Developers,9922957912,"SAI PARK , SR NO. 111/10  OPPOSITE JYOTIBHA MANGAL KARYALAYA
VIJAYNAGAR, KALEWADI PIMPRI
Maharashtra  411017 
Maharashtra - 411017 
India",Insiya Trading,Rose Crystal Developers,SAGAR PHARATE,Boom Barrier,110920,Boom Barrier IZ 2001,2,,,
00015/25-26,SHAKUNTAL FORESTIYA,9742613388,"OFFICE NO 110 H WING JAI GANESH SAMRAJYA
SIPNE ROAD BHOSARI
Maharashtra  411039 
Pune, Maharashtra - 411039 
India",Insiya Trading,SHAKUNTAL DEVELOPERS,SAGAR PHARATE,Boom Barrier,56640,Boom Barrier IZ-2003,1,,,
00036/25-26,Shetakari Sahakari  Gruha Rachana Sanstha,9423009492,"Behind Eion IT Park Grant Road  Kharadi Pune 411014 
Pune, Maharashtra - 411014 
India",Insiya Trading,Shetakari Sahakari  Gruha Rachana Sanstha,Harshal Chhajed,Boom Barrier,50000,Boom Barrier IZ 2001,1,,,
00016/25-26,Shital Kunj,8888817212,"S NO 162/4A/5A 4 TH FLOOR S R CHAMBERS
NAGRAS ROAD AUNDH
Maharashtra  411007 
Pune, Maharashtra - 411007 
India",Insiya Trading,ICON PROPERTIES,SAGAR PHARATE,Boom Barrier,129800,Boom Barrier IZ-2002,2,,,
00107/25-26,SHREE JOPADEVI SERVICES - PUNE,9987987829,"GAT NO 144  KHALUMBRE
CHAKAN TALEGAON ROAD KHALUMBRE, KHED
Maharashtra  410501
9987987829 
Pune, Maharashtra - 410501 
India",Insiya Trading,SHREE JOPADEVI SERVICES - PUNE,Harshal Chhajed,Boom Barrier,16502,Boom Arm,1,,,
00070/25-26,Shrushti Homes,9096324285,"Shrushti Homes, Wadmukhwadi Charoli Pimpari Chinchwad 
Pune, Maharashtra 
India",Insiya Trading,Shrushti Homes,SAGAR PHARATE,Boom Barrier,42500,BOOM BARRIER IZ ECO,1,,,
00108/25-26,Shubhshree woods Row House co-op hsg Soc.,7588726299,"Sur no .128 & 129  kunal Icon Road Pimpale Saudagar  pune 411027 
Pune, Maharashtra - 411027 
India",Insiya Trading,Shubhshree woods Row House co-op hsg Soc.,SAGAR PHARATE,Boom Barrier,505742,Boom Barrier IZ 2001,4,,,
00109/25-26,Sou. Sushila Danchand Ghodwat Charitable Trust,9112856885,"Gut No. 582 to 585  At Post Atigre
Sangli-Kolhapur Road Tal. Hatkanangle
Maharashtra  416118 
Pune City, Maharashtra - 416118 
India",Insiya Trading,Sou. Sushila Danchand Ghodwat Charitable Trust,ASHFAQUE INAMDAR,Boom Barrier,48000,Boom Barrier IZ 2001,1,,,
00026/25-26,Spark Spring,8087996871,"Podwal Road Dhanori Pune 
Pune, Maharashtra 
India",Insiya Trading,Spark Spring,Sameer Sayyed,Boom Barrier,100000,Boom Barrier IZ-2003,2,,,
00059/25-26,SRISHTI INFRABUILD PRIVATE LIMITED,9589000659,"1st2nd floor  
krishna sonchhatra compound bilaspur
Chhattisgarh  495004 
Chhattisgarh - 495004 
India",Insiya Trading,SRISHTI INFRABUILD PRIVATE LIMITED,ASHFAQUE INAMDAR,Boom Barrier,198830,Boom Barrier IZ-2003,2,,,
00084/24-25,Supreme phase 1,,"Supreme phase 1
Dudulgaon Moshi",Insiya Trading,YASHADA HOLDINGS,,Boom Barrier,,Boom Arm,1,,,
00016/24-25,Vignharta keshar tree town,9850898995,"ap dudulgaon Moshi Pimpari Chinchwad 
Pune, Maharashtra 
India",Insiya Trading,Vignharta keshar tree town,SAGAR PHARATE,Boom Barrier,112100,Boom Barrier IZ-2003,1,,,
00033/25-26,vishal Apartment,8180865358,"Ap Bhawanipeth Pune 411042 
Pune, Maharashtra - 411042 
India",Insiya Trading,vishal Apartment,Sameer Sayyed,Boom Barrier,76950,Boom Barrier IZ 2001,1,,,
00002/26-27,Vivek Pandey,9873105544,"Konark bella vista, bhosale garden, hadapsar
9873105544 
Pune, Maharashtra - 411028 
India",Insiya Trading,Vivek Pandey,,Boom Barrier,8500,Boom Arm,1,,,
00201/24-25,WIDEANGLE SECURITY SYSTEMS,,"ROOM NO.02  
IRANI CHAWL LONAVALA
Maharashtra  410401 
Maharashtra - 410401 
India",Insiya Trading,WIDEANGLE SECURITY SYSTEMS,,Boom Barrier,,BOOM BARRIER IZ ECO,1,,,
00040/24-25,Yashada Supreme F G H I J,,"OFFICE NO. 301, J4 BUILDING GROUND FLOOR ROSE ICON
PIMPLE SAUDAGAR Pimpri Chinchwad
Maharashtra  411027 
Maharashtra - 411027 
India",Insiya Trading,YASHADA HOLDINGS,SAGAR PHARATE,Boom Barrier,118000,Boom Barrier IZ-2003,2,,,
